Yr. to Yr.,
Percent/,
(Dollars in millions),Margin,
For the three months ended September 30:,2013,2012,Change,
Software:,
External  gross profit,5101,5073,0.6,%,
External  gross profit margin,88.0,%,88.0,%,(0.0),pts.,
Pre-tax  income,2410,2355,2.3,%,
Pre-tax  margin,36.8,%,35.6,%,1.2,pts.,
