
Recorded,
Total,Total,Investment,
(Dollars in millions),Past Due,Financing,> 90 Days,
At September 30 2013:,> 90 days*,Current,Receivables,and Accruing,
Major  markets,9,6696,6705,9,
Growth  markets,16,2089,2104,11,
Total  lease receivables,25,8785,8809,20,

Major  markets,15,9027,9042,14,
Growth  markets,29,3801,3830,10,
Total  loan receivables,43,12828,12871,24,

Total,68,21612,21681,44,

* Does not include accounts that are fully reserved.,

