Lease Receivables,Loan Receivables,
(Dollars in millions),Major,Growth,Major,Growth,
At September 30 2013:,Markets,Markets,Markets,Markets,
Credit  Rating:,
AAA  – AA-,606,71,817,129,
A+  – A-,1520,178,2049,324,
BBB+  – BBB-,2154,875,2904,1593,
BB+  – BB,1421,306,1916,557,
BB-  – B+,533,412,719,750,
B  – B-,356,198,480,361,
CCC+  – D,115,64,155,116,
Total,6705,2104,9042,3830,
