Three Months Ended,Nine Months Ended,
September 30,September 30,
(Dollars in millions),2013,2012,2013,2012,
Numerator:,
Global  Financing after tax income*,333,319,1066,1016,
Annualized  after tax income (A),1331,1277,1421,1355,
Denominator:,
Average  Global Financing equity (B)**,3543,3253,3525,3279,
Global  Financing return on equity(A)/(B),37.6,%,39.3,%,40.3,%,41.3,%,
