
Foreign,
Currency,
Purchase,Translation,
(Dollars in millions),Balance,Goodwill,Price,And Other,Balance,
Segment,01/01/13,Additions,Adjustments,Divestitures,Adjustments,9/30/13,
Global  Business Services,4357,—,(0),—,(26),4331,
Global  Technology Services,2916,1245,5,—,(41),4126,
Software,20405,577,(25),(2),(137),20818,
Systems  and Technology,1568,13,33,—,(7),1607,
Total,29247,1834,13,(2),(211),30882,

