Originations,

The following are total financing originations:,

Three Months Ended,Nine Months Ended,
September 30,September 30,
(Dollars in millions),2013,2012,2013,2012,
Client  financing,3158,3013,10141,9809,
Commercial  financing,9754,8413,28549,25507,
Total,12912,11426,38690,35316,
