Yr. to Yr.,
Percent/,
(Dollars in millions),Margin,
For the nine months ended September 30:,2013,2012,Change,
Software:,
External  gross profit,15663,15398,1.7,%,
External  gross profit margin,88.0,%,87.8,%,0.2,pts.,
Pre-tax  income,6867,6793,1.1,%,
Pre-tax  margin,34.2,%,34.0,%,0.2,pts.,
