

Year Ended December 31,
2014,2015,2016,
Capital expenditures:,
Google,11178,8868,9417,
Other Bets,496,850,1385,
Reconciling items(2),(660,),232,(590,),
Total capital expenditures as presented on the Consolidated Statements of Cash Flows,11014,9950,10212,
