

As of December 31 2016,
Balance Sheet Location,Fair Value ofDerivativesDesignated asHedging Instruments,Fair Value ofDerivatives NotDesignated asHedging Instruments,Total FairValue,
Derivative Assets:,
Level 2:,
Foreign exchange contracts,Prepaid revenue share expenses and other assets current and non-current,539,57,596,
Total,539,57,596,
Derivative Liabilities:,
Level 2:,
Foreign exchange contracts,Accrued expenses and other liabilities current and non-current,4,9,13,
Interest rate contracts,Accrued expenses and other liabilities current and non-current,0,0,0,
Total,4,9,13,
