

Gains (Losses) Recognized in Income on Derivatives,
Year Ended December 31,
Derivatives Not Designated As Hedging Instruments,Location,2014,2015,2016,
Foreign exchange contracts,Other income (expense) net and net income from discontinued operations,237,198,130,
Interest rate contracts,Other income (expense) net,2,1,(11,),
Total,239,199,119,
