

Year Ended December 31,
2014,2015,2016,
Google Network Members' properties,14539,15033,15598,
Google Network Members' properties revenues as a percentage of Google segment revenues,22.1,%,20.2,%,17.4,%,
Paid clicks change,(7,)%,3,%,
Cost-per-click change,(3,)%,(13,)%,
