

Year Ended December 31,
2014,2015,2016,
Google properties,45085,52357,63785,
Google properties as a percentage of Google segment revenues,68.6,%,70.2,%,71.3,%,
Paid clicks change,33,%,40,%,
Cost-per-click change,(15,)%,(13,)%,
