

Unvested Restricted Stock Units,
Number of    Shares,Weighted-AverageGrant-DateFair Value,
Unvested as of December 31 2015,25741186,531.74,
Granted,13502900,713.89,
Vested,(12002071,),532.87,
Forfeited/canceled,(1893060,),562.03,
Unvested as of December 31 2016,25348955,624.92,
