

Year Ended December 31,
2014,2015,2016,
Stock-based compensation:,
Google,3686,4610,5926,
Other Bets,338,475,647,
Reconciling items(3),151,118,130,
Total stock-based compensation(4),4175,5203,6703,

Depreciation amortization and impairment:,
Google,4779,4839,5800,
Other Bets,147,203,340,
Reconciling items(5),53,21,4,
Total depreciation amortization and impairment as presented on the Consolidated Statements of Cash Flows,4979,5063,6144,
