

Year Ended December 31,
2014,2015,2016,
Google segment,
Google properties,45085,52357,63785,
Google Network Members' properties,14539,15033,15598,
Google advertising revenues,59624,67390,79383,
Google other revenues,6050,7154,10080,
Google segment revenues,65674,74544,89463,

Other Bets,
Other Bets revenues,327,445,809,

Consolidated revenues,66001,74989,90272,
