

Year Ended December 31,
2014,2015,2016,
Operating income (loss):,
Google,18965,23319,27892,
Other Bets,(1893,),(3456,),(3578,),
Reconciling items(1),(576,),(503,),(598,),
Total income from operations,16496,19360,23716,
