

Year Ended December 31,
2014 (1),2015 (1),2016,
Net cash provided by operating activities,23024,26572,36036,
Net cash used in investing activities,(21055,),(23711,),(31165,),
Net cash used in financing activities,(2087,),(4225,),(8332,),
