

Year Ended December 31,
2014,2015,2016,
Interest income,746,999,1220,
Interest expense,(101,),(104,),(124,),
Foreign currency exchange losses net (1),(402,),(422,),(475,),
Gain (loss) on marketable securities net,153,(208,),(210,),
Gain (loss) on non-marketable investments net,237,(126,),(65,),
Other,130,152,88,
Other income (expense) net,763,291,434,
