

Year Ended December 31,
2014,2015,2016,
Google segment revenues,65674,74544,89463,
Google segment revenues as a percentage of consolidated revenues,99.5,%,99.4,%,99.1,%,
Aggregate paid clicks change,22,%,32,%,
Aggregate cost-per-click change,(11,)%,(11,)%,
