

Offsetting of Liabilities,
As of December 31 2015,
Gross Amounts Not Offset in the Consolidated Balance Sheets but Have Legal Rights to Offset,
Description,Gross Amounts of Recognized Liabilities,Gross Amounts Offset in the Consolidated Balance Sheets,Net Presented in the Consolidated Balance Sheets,Financial Instruments,Cash Collateral Pledged,Non-Cash Collateral Pledged,Net Liabilities,
Derivatives,16,0,16,(13,),(3),(3,),0,0,
Securities lending agreements,2428,0,2428,0,0,(2401,),27,
Total,2444,0,2444,(13,),(3,),(2401,),27,

As of December 31 2016,
Gross Amounts Not Offset in the Consolidated Balance Sheets but Have Legal Rights to Offset,
Description,Gross Amounts of Recognized Liabilities,Gross Amounts Offset in the Consolidated Balance Sheets,Net Presented in the Consolidated Balance Sheets,Financial Instruments,Cash Collateral Pledged,Non-Cash Collateral Pledged,Net Liabilities,
Derivatives,13,0,13,(11,),(3),0,0,2,
