

Balance atBeginning ofYear,Additions,Usage,Balance atEnd of Year,
(In millions),
Year ended December 31 2014,631,1240,(1646,),225,
Year ended December 31 2015,225,579,(508,),296,
Year ended December 31 2016,296,942,(771,),467,
